time,10y_open,10y_high,10y_low,10y_close
1871,4.5,5.84,2.73,5.84
1881,6.17,6.58,4.24,4.6
1891,4.84,6.48,4.01,6.48
1901,7.07,10.3,6.25,9.05
1911,9.43,10.21,6.81,6.81
1921,7.06,30.1,6.45,15.51
1931,15.98,18.11,4.77,10.98
1941,10.55,20.43,7.84,20.43
1951,20.77,60.709999,20.690001,58.110001
1961,57.57,109.370003,51.349998,92.150002
1971,92.150002,141.96,60.959999,135.76
1981,136.01,369.78,102.2,330.22
1991,330.2,1552.87,309.35,1320.5
2001,1320.28,1576.09,666.79,1257.64
2011,1257.62,3760.2,1074.77,3756.08
2021,3764.61,4818.62,3662.71,
