"game_id","margin","awayfavored"
0,0,0
401364993,-16.5,1
401364993,-16.5,1
401364994,-24.5,1
401364994,-24.5,1
401365199,-9,1
401365199,-9,1
NA,NA,NA
NA,NA,NA
401371926,-20.5,1
401371926,-20.5,1
401371959,-24.5,1
401371959,-24.5,1
401372026,-34,1
401372026,-34,1
401372031,-25.5,1
401372031,-25.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401373111,-28.5,1
401373111,-28.5,1
401373623,-14.5,0
401373623,-14.5,0
NA,NA,NA
NA,NA,NA
401374434,6.5,0
401374434,6.5,0
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401364990,5,0
401364990,5,0
401364991,-2.5,1
401364991,-2.5,1
401364992,-19.5,1
401364992,-19.5,1
401364995,9,0
401364995,9,0
401364996,-16.5,1
401364996,-16.5,1
401364997,-13.5,1
401364997,-13.5,1
401365201,-6.5,1
401365201,-6.5,1
401365202,-7.5,1
401365202,-7.5,1
401365203,-15,1
401365203,-15,1
401365204,-17,1
401365204,-17,1
401365205,-5.5,1
401365205,-5.5,1
401365206,-15.5,1
401365206,-15.5,1
401365207,-23,1
401365207,-23,1
401365208,-19,1
401365208,-19,1
401365209,-2.5,1
401365209,-2.5,1
NA,NA,NA
NA,NA,NA
401365588,7.5,0
401365588,7.5,0
401365589,-12,1
401365589,-12,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401369130,-15,1
401369130,-15,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401369133,-24,1
401369133,-24,1
401369134,-21.5,1
401369134,-21.5,1
401369135,-21.5,1
401369135,-21.5,1
401369136,-8.5,1
401369136,-8.5,1
401369850,-2.5,1
401369850,-2.5,1
401369909,-12,1
401369909,-12,1
401369925,-18.5,1
401369925,-18.5,1
401369943,-25.5,1
401369943,-25.5,1
401369979,-10.5,1
401369979,-10.5,1
401369998,-25.5,1
401369998,-25.5,1
401370017,-27,1
401370017,-27,1
401370036,-15.5,1
401370036,-15.5,1
401370091,-24,1
401370091,-24,1
401370122,-26.5,1
401370122,-26.5,1
401370793,-31.5,1
401370793,-31.5,1
401370933,3,0
401370933,3,0
401370944,-3,1
401370944,-3,1
401370984,-4,1
401370984,-4,1
401370995,-7,1
401370995,-7,1
401371003,-14,1
401371003,-14,1
401371050,-9.5,1
401371050,-9.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401371130,-7,1
401371130,-7,1
401371165,-20.5,1
401371165,-20.5,1
401371192,-22,1
401371192,-22,1
401371193,-18,1
401371193,-18,1
401371245,-14.5,1
401371245,-14.5,1
401371246,-40,1
401371246,-40,1
401371247,-7,1
401371247,-7,1
401371248,-7.5,1
401371248,-7.5,1
401371350,7.5,1
401371350,7.5,1
NA,NA,NA
NA,NA,NA
401371352,-10,1
401371352,-10,1
401371353,-14.5,1
401371353,-14.5,1
NA,NA,NA
NA,NA,NA
401371355,-15,1
401371355,-15,1
NA,NA,NA
NA,NA,NA
401371564,-28,1
401371564,-28,1
401371565,-23.5,1
401371565,-23.5,1
401371566,-28.5,1
401371566,-28.5,1
401371567,-37.5,1
401371567,-37.5,1
NA,NA,NA
NA,NA,NA
401371574,-6.5,1
401371574,-6.5,1
401371583,-7.5,1
401371583,-7.5,1
401371711,-8.5,1
401371711,-8.5,1
401371719,-26.5,1
401371719,-26.5,1
401371728,-24.5,1
401371728,-24.5,1
401371743,-9,1
401371743,-9,1
401371787,-10,1
401371787,-10,1
401371792,-11.5,1
401371792,-11.5,1
401371804,-21,1
401371804,-21,1
401371811,-19,1
401371811,-19,1
401371819,-11.5,1
401371819,-11.5,1
401371824,-19,1
401371824,-19,1
401371832,-14.5,1
401371832,-14.5,1
401371839,-18.5,1
401371839,-18.5,1
401371846,-7,1
401371846,-7,1
401371858,-20,1
401371858,-20,1
401371884,-23,1
401371884,-23,1
401371892,-35,1
401371892,-35,1
401371914,-28.5,1
401371914,-28.5,1
401371963,-33.5,1
401371963,-33.5,1
401372002,-21,1
401372002,-21,1
401372012,-45,1
401372012,-45,1
401372110,-24.5,1
401372110,-24.5,1
401372121,-19.5,1
401372121,-19.5,1
401372138,4.5,0
401372138,4.5,0
401372141,-6.5,1
401372141,-6.5,1
401372146,-17,1
401372146,-17,1
401372152,-23,1
401372152,-23,1
401372172,-24.5,1
401372172,-24.5,1
NA,NA,NA
NA,NA,NA
401372214,-7,1
401372214,-7,1
401372225,-4.5,1
401372225,-4.5,1
401372247,2.5,0
401372247,2.5,0
401372260,-18,1
401372260,-18,1
401372308,-16,1
401372308,-16,1
401372319,-17.5,1
401372319,-17.5,1
401372337,-14,1
401372337,-14,1
NA,NA,NA
NA,NA,NA
401372396,-21,1
401372396,-21,1
401372409,-12.5,1
401372409,-12.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401372526,-12,1
401372526,-12,1
401372548,-26.5,1
401372548,-26.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401372819,-16.5,1
401372819,-16.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401372979,-7.5,1
401372979,-7.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401373258,4,0
401373258,4,0
NA,NA,NA
NA,NA,NA
401373365,-13.5,1
401373365,-13.5,1
401373388,-21,1
401373388,-21,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401373621,-5.5,1
401373621,-5.5,1
401373622,-11.5,1
401373622,-11.5,1
401373766,-26,1
401373766,-26,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401373823,9.5,0
401373823,9.5,0
NA,NA,NA
NA,NA,NA
401373875,-16,0
401373875,-16,0
401373878,-23,1
401373878,-23,1
401373881,-24,1
401373881,-24,1
401374288,-4.5,1
401374288,-4.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401377970,-15,1
401377970,-15,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401381708,3,0
401381708,3,0
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401385910,-9.5,1
401385910,-9.5,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
401369137,-18,1
401369137,-18,1
401369870,-19.5,1
401369870,-19.5,1
401370054,-15,1
401370054,-15,1
401370794,-23,1
401370794,-23,1
401371249,-1,1
